name,lat,lon,orders
Koramangala,12.9352,77.6245,320
Indiranagar,12.9784,77.6408,280
Whitefield,12.9698,77.7500,210
Jayanagar,12.9308,77.5838,260
Malleshwaram,13.0035,77.5647,190
Hebbal,13.0358,77.5970,170
Electronic City,12.8452,77.6602,240
HSR Layout,12.9116,77.6474,300
Banashankari,12.9255,77.5468,180
Yelahanka,13.1007,77.5963,120
Rajajinagar,12.9910,77.5520,200
Marathahalli,12.9569,77.7011,250
BTM Layout,12.9166,77.6101,270
JP Nagar,12.9063,77.5857,230
Basavanagudi,12.9422,77.5738,150
Bellandur,12.9304,77.6784,220
Yeshwanthpur,13.0285,77.5409,140
Kengeri,12.9078,77.4830,110
Bannerghatta Road,12.8930,77.5970,160
KR Puram,13.0075,77.6960,180
